Store Name,Address,Street,City,State,Zip,Country,Duration,Distance,DateTime,Points Earned,Fare,Promotion,Boost,Tip,Your Earnings,Customer 1 Price,Customer 1 Tip,Customer 1 Service Fee,Customer 2 Price,Customer 2 Tip,Customer 2 Service Fee,Customer 3 Price,Customer 3 Tip,Customer 3 Service Fee,Customer 4 Price,Customer 4 Tip,Customer 4 Service Fee,Customer 5 Price,Customer 5 Tip,Customer 5 Service Fee,Customer 6 Price,Customer 6 Tip,Customer 6 Service Fee,Customer 7 Price,Customer 7 Tip,Customer 7 Service Fee,Customer 8 Price,Customer 8 Tip,Customer 8 Service Fee,Customer 9 Price,Customer 9 Tip,Customer 9 Service Fee,Customer 10 Price,Customer 10 Tip,Customer 10 Service Fee,Customer Payments Total,Service Fee Total
Station Sushi,"Corto St, Solana Beach, CA 92075, US",Corto St,Solana Beach,CA,92075,US,00:16:05,2.7,08/31/2023 20:01:00,6,5.05,0,0,4,9.05,9.47,4,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,4.42
Chipotle Mexican Grill (2710 Via De La Valle Ste 290),"Rancho del Mar Trl, San Diego, CA 92130-5207, US",Rancho del Mar Trl,San Diego,CA,92130,US,00:15:59,3,08/31/2023 19:28:00,6,3.44,0,0,7.47,10.91,17.1,7.47,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57,13.66
Tender Greens (3745 Paseo Place Suite 0840),"Caminito Pacifica Trl, San Diego, CA 92130, US",Caminito Pacifica Trl,San Diego,CA,92130,US,00:30:46,3.5,08/31/2023 18:46:00,6,4.22,0,0,6,10.22,15.62,6,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.619999999999997,11.4
RakiRaki - Convoy,"Torrey Cir, San Diego, CA 92130, US",Torrey Cir,San Diego,CA,92130,US,01:15:00,23.9,08/31/2023 16:59:00,12,24.01,0,0,12.82,36.83,27.1,5,17.8,27.79,7.82,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.71000000000001,30.880000000000003
McDonald's (5920 BALBOA AVE),"Kearny Villa Rd, San Diego, CA 92123, USA",Kearny Villa Rd,San Diego,CA,92123,USA,00:16:49,8.3,08/28/2023 20:34:00,6,5.95,0,0,2.13,8.08,0.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,1
Tajima Convoy,"Cowley Way, San Diego, CA 92110, US",Cowley Way,San Diego,CA,92110,US,00:31:33,6.1,08/28/2023 19:55:00,6,4.35,0,0,4.78,9.13,7.83,4.78,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.61,3.48
Bei Yuan Tea & Boba (Clairemont Mesa),"Nobel Dr, San Diego, CA 92122, US",Nobel Dr,San Diego,CA,92122,US,00:24:14,8.7,08/28/2023 18:26:00,6,6.13,0,0,7.89,14.02,10.56,7.89,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,4.43
RakiRaki - Convoy,"Van Dyke Ave, San Diego, CA 92105-1219, US",Van Dyke Ave,San Diego,CA,92105,US,00:38:38,8.4,08/28/2023 17:08:00,12,10.07,0,0,8.79,18.86,11.8,8.79,8.12,10.89,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,12.62
Jack in the Box (14039 Highway 8 Business),"Plaza Viejas, Alpine, CA 91901, US",Plaza Viejas,Alpine,CA,91901,US,00:26:26,11.6,08/27/2023 21:13:00,1,8.44,0,0,5.03,13.47,22.89,5.03,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.92,14.45
Chaba Thai Kitchen,"Clairemont Mesa Blvd, San Diego, CA 92117-2205, US",Clairemont Mesa Blvd,San Diego,CA,92117,US,00:18:57,4.3,08/05/2023 18:27:00,6,3.57,0,0,4.5,8.07,8.31,4.5,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,4.74
Dave's Hot Chicken (Mira Mesa),"Genesee Ave, San Diego, CA 92121-1801, US",Genesee Ave,San Diego,CA,92121,US,00:59:05,21.8,07/07/2023 18:17:00,12,14.57,0,0,1.5,16.07,19.19,0,12.95,12.02,1.5,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.71,16.64
Mesa Liquor & Wine Co. - Knockout Deli,"Westmore Ln, San Diego, CA 92126, US",Westmore Ln,San Diego,CA,92126,US,00:24:53,9.9,07/07/2023 18:01:00,6,9.08,0,0,22.82,31.9,24.39,22.82,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.21,15.31
Havana Grill,"Camino Playa Carmel, San Diego, CA 92124, US",Camino Playa Carmel,San Diego,CA,92124,US,00:50:31,7.6,07/07/2023 17:02:00,12,9.53,0,0,21.1,30.63,6.96,6,5.19,16.21,15.1,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.27,13.64
Urban Bubble,"Ambrosia Dr, San Diego, CA 92124, US",Ambrosia Dr,San Diego,CA,92124,US,00:24:35,9.6,07/07/2023 12:20:00,3,9.11,0.33,0.33,4.63,14.07,10.93,4.63,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.559999999999999,1.49
Mendocino Farms,"Convoy Ct, San Diego, CA 92111, USA",Convoy Ct,San Diego,CA,92111,USA,00:48:49,9.9,07/07/2023 11:25:00,6,9.85,0.24,0.24,39.91,50,9.3,17.23,4.38,10.49,22.68,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7,9.7
Yogurt On The Rocks,"Falcon St, San Diego, CA 92103, USA",Falcon St,San Diego,CA,92103,USA,00:24:34,8.2,07/06/2023 19:14:00,6,6.49,0,0,5.94,12.43,16.61,5.94,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.55,10.12
RakiRaki - Convoy,"Emerald St, San Diego, CA 92109-3620, US",Emerald St,San Diego,CA,92109,US,00:27:35,6.1,07/06/2023 18:50:00,6,6.06,0,0,17.22,23.28,18.76,17.22,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.980000000000004,12.7
99 Ranch Market,"Nicole Ridge Rd, San Diego, CA 92127, USA",Nicole Ridge Rd,San Diego,CA,92127,USA,00:40:35,18.3,07/06/2023 17:36:00,6,13.02,0,0,14,27.02,17.66,14,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66,4.64
Sushi Kuchi,"Costa Verde Blvd, San Diego, CA 92122-6620, US",Costa Verde Blvd,San Diego,CA,92122,US,00:19:24,6.4,07/06/2023 17:00:00,6,6.33,0,0,6.28,12.61,13.05,6.28,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.330000000000002,6.72
Which Wich - Mission Valley,"Villa Ter, San Diego, CA 92104, US",Villa Ter,San Diego,CA,92104,US,00:41:57,6.3,07/06/2023 12:18:00,6,9.61,0,0,7.77,17.38,8.96,3.1,4,9.55,4.67,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.28,8.9
